id,질문,정답,top1 문서
494,영국의 주요 슈퍼마켓들이 2030년까지 음식물 쓰레기를 얼마나 줄이겠다고 서약했나요?,2030년까지 음식물 쓰레기를 반으로 줄이겠다는 공약에 서명했습니다.,"영국 환경식품농촌부장관, 식품 폐기물 저감 위한 정부 노력에 동참할 것을 독려 (*)기제공정보: 영국 환경식품농촌부장관, 식품 폐기물 저감 위한 정부 노력에 동참할 것을 독려(2019-05-14) 관련 영국의 모든 주요 슈퍼마켓을 포함한 식품 업계에서 가장 큰 100개 이상의 주요업체들이 정부의 조치 촉구에 따라 음식물 쓰레기를 줄이기 위한 획기적인 조치를 취하겠다는 서약서에 서명했음. Aldi, Asda, Caffé Nero, Co-op, Costa, FDF, Lidl, Sainsbury 's, Starbucks, Tesco, M  S, Morrisons, Nestlé, Ocado, UKHospitality, Unilever, World Wildlife Fund for Nature 및 Waitrose는 2030년까지 음식물 쓰레기를 반으로 줄이겠다는 공약에 서명하고 행동 주간을 통해 이 문제에 대한 대중의 인식을 높이고 있음. 현재 영국에서는 농장를 떠난 후 연간 약 1020만 톤의 식량과 음료가 낭비되며 약 200억 파운드 상당의 가치가 있는 것으로 나타남. 영국 가정 주부는 먹을 수 있었지만 폐기 될 수 있는 식량에 매년 150억 파운드를 쏟아 붓고, 평균 가구당 연간 500파운드에 해당하는 것으로 추산됨 .환경부 장관 마이클 고브(Michael Gove)는 ""많은 영국 식품 업체들이 음식물 쓰레기를 줄이기 위해 판을을 바꾸는 작업에 전념하게 되어 매우 기쁘며,...중략...함께 음식물 쓰레기라는 환경 및 경제적 스캔들을 종식시킬 것""이라고 전함. 마이클 고브 환경부 장관은 식량 낭비를 줄이기위해 6백만 파운드 이상의 자금 지원을 신청한 바 있음."
495,"Kleinpeter Farms Dairy, LLC가 회수하는 제품의 이름은 무엇인가요?","100% Orange Juice From Concentrate Pasteurized, 4 fl. oz. 종이 포장","[E/R]미국 Kleinpeter Farms Dairy, LLC, 오래된 제품 배송으로 음료 회수 -지역: 미국 LA -제품명: 100% Orange Juice From Concentrate Pasteurized, 4 fl. oz. 종이 포장(010 19, 015 19)-회수사: Kleinpeter Farms Dairy, LLC (회수중, 회수일: 5/3/2019)-회수사유: 오래된 제품 배송"
496,"Juices International, Inc.의 음료 회수 사유는 무엇인가요?",가처분명령 위반으로 미국 식품의약품청(FDA)이 생산 쥬스를 회수하는 폐쇄장을 발행했기 때문입니다.,"[E/R]미국 Juices International, Inc., 가처분명령 위반으로 음료 회수 -지역: 미국 NY 소매점 16개 -제품명: 12온스 유리병에 담긴 모든 쥬스 및 음료, 전 제품(Agony, Double Trouble, Front End Lifter, Irish (sea) Moss, Cashew Punch, Carrot Juice, Sorrel, Carrots  Beet, Carrot  Ginger, Ginger Beer, Pineapple Twist 등)-회수사: Juices International, Inc.(회수중, 회수일: 4/15/2019)-회수사유: 가처분명령(Consent Decree of Injunction) 위반으로 미국 식품의약품청(FDA)이 생산 쥬스를 회수하는 폐쇄장(Shutdown Letter)을 발행함"
497,EU는 식품 폐기물 문제를 해결하기 위해 어떤 조치를 취하고 있나요?,EU는 회원국이 각 식품 공급 단계에서 식품 폐기물을 수량화할 수 있도록 지원하는 공통 식품 폐기물 측정법에 대해 명시한 위임법령을 채택했습니다.,"유럽집행위원회,  EU 내 식품 폐기물 공통 측정법 채택 매년 EU에서 생산되는 식품의 약 20%가 손실되거나 버려져 사회, 환경, 경제적 피해를 초래하고 있음. EU는 이러한 문제를 해결하고 식품 시스템을 지속가능한 방향으로 옮기는데 전념하고 있음. 효과적인 조치를 취하기 위해서는 현재 갖고있는것 보다 더 많은 식품 폐기물 관련 데이터가 필요함. 이러한 지식 격차를 해소하기 위해 집행위는 회원국이 각 식품 공급 단계에서 식품 폐기물을 수량화 할 수 있도록 지원하는 공통 식품 폐기물 측정법에 대해 명시한 위임법령(Delegated Act)을 채택함. 식품 폐기물 정의를 바탕으로, 동 방법은 EU 전역의 식품 폐기물 수준에 대한 일관성 있는 모니터링을 보장할 것임. 동 위임법령(*)은 공동 입법자가 면밀히 검토할 예정이며, 7월 말 의회 및 이사회에 회부될 예정임. (*): https://webgate.ec.europa.eu/regdel/web/delegatedActs/791/documents/latest?lang=en"
498,캐나다 식품검사청이 냉동 디저트에서 발견한 미표시 알레르기 유발성분은 무엇인가?,"냉동 디저트에서 발견된 미표시 알레르기 유발성분은 글루텐, 콩, 아몬드, 우유 단백질 베타-락토글로불린(BLG), 카제인이다.","캐나다 식품검사청, 냉장 소스 및 스프레드의 알레르기 유발 성분 미표시 조사 보고서 발표(2016-2017) 캐나다 식품검사청(이하 CFIA)은 냉장 소스 및 스프레드의 알레르기 유발 성분 미표시에 대한 조사 보고서를 발표하였음. CFIA는 400개의 냉장 소스 및 스프레드 표본을 분석하였으며, 그 중 14개의 표본에서 미표시된 알레르기 유발 성분이 검출되었음. 알레르기 유발 성분이 검출된 제품 중 인체에 위해를 가할 것이라고 판단되는 제품은 없었음. 그에 따라 회수는 이루어지지 않았음.  * 조사 보고서 원문: https://www.inspection.gc.ca/DAM/DAM-food-aliments/STAGING/text-texte/undeclared_allergens_in_refrigerated_dips_2016-2017_1585238823506_eng.pdf"
499,영국이 브라질로 돌려보낸 살모넬라 오염 닭고기의 양은 얼마인가?,지난 15개월 간 반송된 가금류 물량은 총 1400t이다.,"영국, 살모넬라 오염 닭고기 브라질로 지난 15개월간 1400여톤 돌려 보내 *기제공정보:​ '영국 수사보도국, 살모넬라 오염 브라질산 닭고기 백만마리 가량 영국으로 수출 확인(2019-07-03)' 관련 브라질 정부는 수요일(보도일 기준) 영국이 살모넬라 검출로 인하여 가금류 16 컨테이너를 브라질로 돌려보냈다고 확인함. Tereza Cristina Dias 농업부장관에 따르면, 지난 15개월 간 반송된 가금류 물량은 총 1400t인 것으로 나타남. 브라질 현지 웹사이트 Reporter Brasil에 따르면, 일부 선적의 경우 해당 국가의 주요 포장업체인 JBS(사) 및 BRF Foods(사)가 속해있었음. 또한 해당 웹사이트는 영국에서 거부한 가금류가 브라질 시장에서 판매 되었다고 보고함. 브라질은 유럽 연합 국가보다 살모넬라 균의 검출량 대한 최대치가 높음. 동 장관은 해당 정보를 부정하지 않았으며, 브라질로 돌아온 가금류의 최종 목적지는 고기 포장 회사의 책임이며 브라질의 규정에 따라 제품을 판매 할 수 있다고 말했음. 또한 가금류를 요리하면 오염의 위험을 없앨 수 있다고 말함."
500,미시간주에서 CBD를 식품이나 음료에 첨가하는 것이 불법인 이유는 무엇인가?,FDA가 그러한 제품의 사용을 승인하지 않았기 때문임.,"미국 미시간주, 미시간에서 식품/음료에 CBD 첨가는 불법이라고 권고 지난주 금요일에 미시간주(state agencies)에서는 마리화나와 대마(hemp) 관련 제품에 대한 지침(guidance)을 발표함. 마리화나 규제국(Bureau of Marijuana Regulation)과 미시간 농무부 (Agricultural and Rural Development)의 공동 성명서는 대마(hemp) 파생물 CBD 오일을 포함하여 마리화나 및 대마 제품에 대해 합법과 불법인 것에 대한 몇가지 핵심 사항(key point)을 명확히 함. 지침에 따르면 CBD를 식품 또는 음료에 사용하거나, 보충제로 판매하는 것은 현재 불법임. 그 이유는 FDA가 그러한 제품의 사용을 승인하지 않았기 때문임.  Newschannel3과 인터뷰한 한 사람은 잠시 동안 합법적이지 않을 것이라는 것이 좋은 생각이라고 생각한다며, 좋은제품인지 모르겠고, 사람들이 제품을 충분히 알지 못한다고 언급함. 인터뷰한 사람과 같은 쇼핑객은 Kalamazoo 지역 상점에서 CBD 제품으로 판매되는 Colorado Hemp Honey를 찾을 수 있음.  지침 소식에 대해 들은 후에 한 가게 매니저는 선반에서 Colorado Hemp Honey를 제거할 지 기업과 상의해야한다고 언급함. 어떤 것이 CBD 제품으로 간주되는지에 대해서는 애매한 부분(gray area)도 있음. 예를 들어, Colorado Hemp Honey에는 CBD가 단지 하나의 구성 요소일뿐인 전체 범위(스펙트럼)의 대마 추출물이 함유되어 있음."
501,Tim Campbell Farm flat parsley 제품의 회수 이유는 무엇인가요?,제품에서 리스테리아 모노사이토제네스가 검출됨.,"[E/R]미국 Tim Campbell Farm LLC, 리스테리아 검출로 파슬리 제품 회수 -지역: 미국 MI-제품명: Tim Campbell Farm flat parsley in wooden crate. 순중량(net weight) 또는 수량(quantity)은 표시되어있지 않음. (Lot Code:07MF2022520225, Pack Date 20225)-회수사: Tim Campbell Farm LLC (회수중, 회수일: 9/2/2020)-회수사유: 제품에서 리스테리아 모노사이토제네스가 검출됨."
502,노스아일랜드 서해안에서 어떤 종류의 패류를 섭취하지 말아야 하나요?,"홍합, 굴, 투아투아, 피피, 토헤로아, 새조개, 가리비, 캐츠아이, 키나 및 모든 쌍각류 패류는 먹지 말아야 합니다.","뉴질랜드 일차산업부, 레글런 등 노스아일랜드 서해안 지역 패류 생물독소 경고 일차산업부는 오늘 노스아일랜드 서해안의 사우스 헤드(South Head)부터 타우라타히(Tauratahi) 지점까지 해당 지역에서 패류를 채취 또는 섭취하지 말 것에 대한 공중보건 경고를 발행하였음. 해당 지역에서 채위한 패류 샘플에 대한 정기 검사에서 마비성 패독(Paralytic Shellfish Poisoning (PSP) toxins)이 MPI가 설정한 안전기준치인 0.8 mg/kg을 넘는 양이 검출되었음. 해당 지역의 패류를 섭취한 경우 발병 위험이 있을 수 있음. *경고 지역: https://www.mpi.govt.nz/travel-and-recreation/fishing/shellfish-biotoxin-alerts/#map-westcoast 홍합, 굴, 투아투아(tuatua), 피피(pipi), 토헤로아(toheroa), 새조개(cockles), 가리비(scallops), 캐츠아이(catseyes), 키나(성게) 및 모든 쌍각류 패류는 먹지 말아야 함. 파우아, 게, 가제는 내장에 독소가 축적되기 때문에 조리 전에 내장을 완전히 제거한 경우에는 계속 섭취할 수 있음. 내장을 제거하지 않은 경우, 조리 과정 중에 고기가 오염될 수 있음. 슈퍼마켓 등의 매장에서 판매되거나 수출되곤 하는 상업적으로 채취하는 패류의 경우 MPI의 엄격한 수질 모니터링 프로그램에 의해 관리되어 섭취에 안전함."
503,Red Monkey Foods Inc가 회수하는 건조 파슬리 제품의 유통기한은 언제인가요?,"World Market: BEST BY: 24 MAR 2023, Organics: BEST If Used By: MAR 25 23, Clearly Organic: Best If Used By MAR 25 2023, Great Value: BEST If Used By: MAR 11 2023, Full Circle: Best By: 11 MAR 2023","[회수]미국 Pinnacle Foods Inc., 리스테리아 오염 가능성으로 냉동완두콩 회수 - 일시: 2016.6.21- 지역: 미국 전역 및 온라인 - 제품명: *냉동제품1) CW Early Harvest Petite Peas (16 oz., UPC 0-70332-00159-4, 유통기한 Mar-07-18, Mar-17-18, Mar-28-18, Mar-29-18)2) CW Petite Peas (16 oz., UPC 0-70332-00158-7, 유통기한 Mar-23-18, Mar-28-18, Mar-29-18)- 회수사: Pinnacle Foods Inc.- 회수사유: 리스테리아 모노사이토제네스 오염 가능성 - 기타: 관련 질병 보고 없음. 업체는 포장 하청업체 'National Frozen Foods(사)'가 상기 사실을 알려오면서 제품을 회수하게 되었음."
504,덴마크에서 발생한 캠필로박터 감염의 원인으로 의심되는 제품은 무엇인가?,보른홀름 유업의 저온 살균 우유,"덴마크 국립식품연구소, 캠필로박터 감염의 주요 원인은 닭고기 덴마크 국립식품연구소는 덴마크 내 캠필로박터 감염의 거의 절반 가량(46%)이 국내산 닭고기 섭취로 인한 것이라는 보고서(*)를 발표했음. 다른 원인으로는 소(쇠고기, 우유 또는 직접접촉) 19%, 수입 닭고기 섭취 9%가 뒤를 이었음. 동 결과는 덴마크 수의식품청(DVFA), 국립혈청연구소(SSI), 코펜하겐 대학교가 2년 이상 수집한 데이터 자료를 바탕으로 했으며, 샘플 분석은 MLST 방법을 사용함. 동 데이터는 정부 및 업계가 향후 캠필로박터 관련 행동 계획 마련 시 사용 할 것임.   *보고서전문: http://www.dtu.dk/english/-/media/Institutter/Foedevareinstituttet/Publikationer/Pub-2017/Report-Source-Attribution-Campylobacter-FINAL.ashx?la=da"
505,뉴질랜드에서 코로나 경보 4단계 동안 맥도날드 배달이 가능한가요?,"모든 식당, 카페 및 바는 배달을 포함하여 운영을 할 수 없다고 강조함.","뉴질랜드, 코로나바이러스와 관련하여 맥도날드는 폐쇄하고 배달 서비스 등은 유지해 (*) 식품 관련 정보만 수집 뉴질랜드 총리 저신다 아던(Jacinda Ardern)은 금일 오후 경계 단계를 3 단계로 올리고, 수요일 오후 11시 59분부터 전국적인 봉쇄를 시작하도록 함. 식당은 수요일 저녁 경계 4단계 시작할 때까지 오직 포장만 가능하며, 그후에는 폐쇄됨. 맥도날드는 수요일 늦은 저녁 ""기한 시간 전""에 폐쇄할 것임. 그때까지 테이크어웨이, 드라이브스루, 맥 딜리버리 등을 통해 빅맥을 구매할 수 있음. 식당에서 식사하는 것은 경계 3, 4 단계 이전의 일임. 4주간의 봉쇄 기간 동안 패스트푸드나 포장 음식 옵션은 없을 것임."
